presentations
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),講演者(日本語),講演者(英語),会議名(日本語),会議名(英語),発表年月日,開催年月日(From),開催年月日(To),招待の有無,記述言語,会議種別,主催者(日本語),主催者(英語),開催地(日本語),開催地(英語),国・地域,概要(日本語),概要(英語),国際・国内会議,国際共著,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,51525952,粒界における添加原子拡散の原子分解能観察,null,"[二塚 俊洋,石川 亮,横井 達矢,松永 克志,柴田 直哉,幾原 雄一]",null,日本顕微鏡学会第81回学術講演会,null,2025-06,null,null,false,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,51525752,null,"Atomistic Mechanism of Impurity Diffusion in α-Al2O3 Grain Boundary",null,"[Toshihiro Futazuka,Ryo Ishikawa,Tatsuya Yokoi,Katsuyuki Matsunaga,Naoya Shibata,Yuichi Ikuhara]",null,IIB2024,2024-07,null,null,false,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,51525666,α-Al2O3粒界におけるHf拡散の原子機構の解明,null,"[二塚俊洋,石川亮,横井達矢,松永克志,柴田直哉,幾原雄一]",null,日本セラミックス協会,null,2023-09,null,null,false,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,51525665,α-Al2O3粒界における選択的Hf拡散機構の解明,null,"[二塚俊洋,石川亮,横井達矢,松永克志,柴田直哉,幾原雄一]",null,日本金属学会秋季講演大会,null,2023-09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,51525688,null,"Grain boundary structural transformation induced by co-segregation of aliovalent dopants",null,"[T. Futazuka,R. Ishikawa,N. Shibata,Y. Ikuhara]",null,IAMNano2023,2023-06,null,null,false,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,51525658,"α-Al2O3 Σ13粒界におけるCa/Si共偏析による粒界構造転移",null,"[二塚俊洋,石川亮,柴田直哉,幾原雄一]",null,日本顕微鏡学会,null,2023-06,null,null,false,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,51525680,null,"Co-Segregation of Aliovalent Dopants at α-Al2O3 Σ13 Grain Boundary",null,"[T. Futazuka,R. Ishikawa,N. Shibata,Y. Ikuhara]",null,MRS2022,2022-12,null,null,false,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,51525654,"α-Al2O3 Σ13粒界におけるCa/Si共偏析機構の解明",null,"[二塚俊洋,石川亮,柴田直哉,幾原雄一]",null,"日本セラミックス協会 2022年年会",null,2022-03,null,null,false,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,51525673,null,"Co-segregation mechanism of Ca/Si on Σ13 grain boundary in α-Al2O3",null,"[T. Futazuka,R. Ishikawa,N. Shibata,Y. Ikuhara]",null,PACRIM14,2021-12,null,null,false,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,51525649,"α-Al2O3 Σ13粒界におけるCa/Si偏析機構の解明",null,"[二塚俊洋,石川亮,柴田直哉,幾原雄一]",null,"日本金属学会 秋季大会",null,2021-09,null,null,false,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,51525642,α-Al2O3における2族・14族添加元素による点欠陥の第一原理計算,null,"[二塚俊洋,石川亮,柴田直哉,幾原雄一]",null,"日本セラミックス協会 第33回秋季シンポジウム",null,2020-09,null,null,false,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,51525633,α-Al2O3における2族不純物点欠陥の第一原理計算,null,"[二塚俊洋,石川亮,柴田直哉,幾原雄一]",null,"日本セラミックス協会 2020年年会",null,2020-03,null,null,false,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
